id;straatnaam;huisnummer;postcode;woonplaats;land
4a0779e9-724d-4eba-9d8e-59cd61d40f61;end-to-end;99341;Optimized;THX invoice;seamless Auto world-class
7a96f8cc-57f5-48c8-8e0c-5d157147a657;Smakelijk invoice;55604;interactive;internet Buckinghamshire;Usability Bluetooth even-keeled
fb55bc9e-52bc-48f9-aa43-706b38a1272a;Direct;99369;IJzeren;condensator;verzenden Franc Strategist
4cd9228b-7bfa-44f1-bcce-d023ec30ed7e;Rupee;3210;Assistant Overijssel;Friesland kostbare;Flevoland Cross-group Zuid-Holland
f4abe856-ff32-4882-b3b5-c39cfb95ced6;innovative Horizontal;72457;Geweldig Account Bedfordshire;cyaan muntgroen kaart;customized
77a1eb50-c1b4-4f5c-90c3-637b2b7e284f;indexeren;6525;Rustiek hemelsblauw National;straat;Avon Intelligent
6cd91ed1-672f-4d5a-b854-c111fc9400e9;cruciale;41140;TCP incubate partnerships;Overijssel markets;Sri levend Slovenië
26706625-c85b-4c55-b23c-196f9413f11e;zender;43661;driver Huis;Gabon;whiteboard national
31f2787a-a6ad-4f5a-a686-3dec57bb32c7;Gelderland;13542;optische;end-to-end enable Wollen;scalable Product deploy
a00fe83f-6bdc-43bc-827a-c8b96db4c97b;aansluiten synergies;96413;Geweldig disintermediate;Papoea-Nieuw-Guinea;Schoenen
